ccl4_10w_vs_ccl4_6w_a2b	ccl4_10w_vs_ccl4_6w_b2a	ccl4_10w_vs_ctrl_10w_a2b	ccl4_10w_vs_ctrl_10w_b2a	ccl4_18w_vs_ccl4_10w_a2b	ccl4_18w_vs_ccl4_10w_b2a	ccl4_18w_vs_ccl4_6w_a2b	ccl4_18w_vs_ccl4_6w_b2a	ccl4_18w_vs_ctrl_18w_a2b	ccl4_18w_vs_ctrl_18w_b2a	ccl4_6w_vs_ctrl_6w_a2b	ccl4_6w_vs_ctrl_6w_b2a	ctrl_10w_vs_ctrl_6w_a2b	ctrl_10w_vs_ctrl_6w_b2a	ctrl_18w_vs_ctrl_10w_a2b	ctrl_18w_vs_ctrl_10w_b2a	ctrl_18w_vs_ctrl_6w_a2b	ctrl_18w_vs_ctrl_6w_b2a
-0.49		1.37	0.37	0.51	-1.82	2.8		-0.42	-1.74	-0.06	-0.21	0.22	0.29	-0.72	0.06	-1.91	
0.53		0.8	0.37	0.99	-0.48	0.95		-0.97	0.14	1.25	-0.1	0.43	-0.39	0.01	0.51	-0.14	
0.44		-0.22	-0.29	0.34	2.75	0.5		2.2	1.18	1.42	-0.57	0.02	-0.73	0.23	0.24	-0.68	
0.43		-0.22	-0.29	1.61	-0.39	-1.28		2.89	1.76	0.51	1.24	0.27	-0.93	0.11	0.24	-1.33	
0.35		1.18	-1.18	1.39	-3.5	-0.31		-0.01	0.86	1.1	0.56	-0.14	-0.5	-0.98	0.03	-1.19	
0.35		-0.58	-0.67	-0.17	-0.32	-1.48		7.82	-1.02	0.56	-0.58	0.16	0.52	0.21	0.05	-1.19	
-0.57		0.44	-2.17	1.35	-1.31	1.16		1.39	-0.3	1.57	-0.15	0.3	-0.25	0.2	0.05	-0.13	
-0.33		-0.24	-2.17	2.02	-0.73	0.08		0.15	0.75	0.28	-0.15	0.41	0.52	0.1	-0.04	-0.22	
0.23		-0.17	-2.17	2.02	-0.73	-0.19		0.15	-0.06	0.28	-0.15	1.2	-0.53	-0.19	-0.04	-0.04	
-0.47		2.26	2.9	0.47	0	0.6		1.91	-0.33	1	-0.3	-0.27	-1.72	0.47	0.06	-1.1	
-0.47		0.7	-1.25	1.05	-0.25	0.34		1.51	1.22	-0.11	2.4	0.17	-0.01	0.08	-0.21	-2.14	
-0.52		0.05	-1.25	-0.08	3.42	0.52		1.51	3.01	0.16	2.08	0.1	0.84	0.05	-0.21	-0.31	
-0.31		-0.8	-1.25	2.12	-2.19	0.17		0.2	-0.29	1.2	-1.47	0.52	-1.89	0.43	-0.35	-0.7	
-0.5		0.46	1.55	1.1	-0.97	0		1.82	0	1	0.93	0.22	-1.43	-0.22	0.49	-0.11	
0.26		-0.61	1.55	-0.32	0.15	-0.29		0.51	-2.57	1.2	-1.18	0.26	-0.82	-0.25	0.13	-1.04	
-0.56		0.48	-1.19	0.77	0.46	0.7		-0.6	0	0.68	0.26	0.07	-0.82	1.46	0	0.56	
-0.76		-2.77	-1.19	-0.14	-3.51	0.5		-0.49	-2.23	0.68	-1	-0.09	-0.82	0.17	-0.24	0.14	
-0.44		1.31	-0.22	-0.14	-4.02	0.31		-0.25	0	0.33	-0.15	-0.71	0.61	-0.21	0.88	-1.53	
-0.51		0.54	1.93	0.07	-3.11	0.6		-1.08	0	0.92	0.53	-0.71	0	-0.27	-0.34	-1.24	
-0.51		-0.52	2.55	2.51	-0.05	3.03		-1.08	-1.74	0.4	-1.74	0.19	-1.01	-0.13	1.85	0	
0.64		0.43	2.55	0.06	-1.1	0.37		3.15	0.61	0.74	-6.85	0.19	0	0.25	1.85	0.01	
-0.35		0.43	0	-0.03	0.37	0.02		3.84	1.22	0.18	-0.99	0.14	0.96	0.3	-0.23	0.45	
-0.24		0.87	-2.75	0.56	-0.83	0.02		0.42	0	0.54	0.01	0.04	0.41	-0.46	0.17	-0.51	
0.02		-0.67	-1.16	0.3	-1.23	0.73		1.95	0	0.52	0.01	-0.91	-1.43	-0.08	0.2	0.03	
